"","Dim.1","Dim.2"
"Soil_Temp",8.57744143180198,1.85095782227529
"Water_content",9.72208569484784,2.94372419328169
"SOM",12.7884774692013,1.95194681179707
"pH",2.57278625381947,5.32161768207114
"TOC",12.3690935312364,2.56522990687694
"TC",7.76515988884102,6.96027967235375
"TN",12.7918897697252,1.53601993561295
"C_N",3.6528208111547,3.40974560782362
"NH4",5.47647038489715,5.43481751245695
"PO43",3.04327429627911,0.00140645879930033
"SO42",3.63840661568288,2.01541763157366
"Sand",4.00237085379673,7.16084383338518
"Silt",0.117152294517954,17.6960141514169
"Clay",9.43275437557986,0.742075266890124
"Litter",2.05706083675864,0.305275686442351
"FI",1.05984149577804,14.1441463044755
"Peak_A",0.206248740028028,9.12145015339961
"Peak_T",0.403154788199923,16.6987830699877
"HIX",0.323510467853802,0.140248299080342
