Site;Name;Number_name;MAP;MAT;AI;Soil_Temp;Water_activity;Water_content;SOM;pH;TOC;TC;TN;C_N;NH4;PO43;SO42;Sand;Silt;Clay;Litter;L_TC;L_TN;BB;FB;alpha;beta;xyl;cbh;gla;fos;leu;phe;Respiration;altitude;landcover;s275.295;s350.400;SR;E2.E3;E3.E4;E4.E6;FI;BIX;Peak_A;Peak_C;Peak_M;Peak_T;Peak_B;HIX;LTC_LTN;xylcbh;alphabeta;Aridity
SP01;T-SP1-a;1-SP01-A;1312.6171;12.1382;1.25;16.4;0.99;32.61;0.1061;4.36;0.0376;0.0376;0.0028;13.5776;10.79;11.35;45.62;0.4695;0.373;0.1575;852.82;0.0136;0.4906;0.00264;0.3121;0.002;0.0157;0.0048;0;0.0246;0.5937;0.0319;0;0.02971528;344;Deciduous Broadleaf Forests;-0.02469213;-0.01548341;1.5947475;7.4959758;5.3029127;7.7256413;1.8034623;0.58455791;0.98190541;0.57683852;0.52345311;0.48573481;0.38091429;3.4899153;0.027721158;0.0048;0.0177;-0.25
SP01;T-SP1-b;2-SP01-B;1312.6171;12.1382;1.25;13.25;0.99;31.65;0.0979;4.14;0.0348;0.0348;0.0027;12.7044;31.01;17.47;47.18;0.4695;0.373;0.1575;323.2;0.0119;0.4885;0.00272;0.0699;0.0013;0.011;0.0082;0;0.0117;0.1078;0.0252;0.3846;0.02621946;344;Deciduous Broadleaf Forests;-0.02469213;-0.01548341;1.5947475;7.4959758;5.3029127;7.7256413;1.8034623;0.58455791;0.98190541;0.57683852;0.52345311;0.48573481;0.38091429;3.4899153;0.024360287;0.0082;0.0123;-0.25
SP01;T-SP1-c;3-SP01-C;1312.6171;12.1382;1.25;16.3;0.99;32.13;0.1149;4.34;0.0472;0.0472;0.0035;13.3796;6.59;16.14;38.72;0.4695;0.373;0.1575;576.95;0.0137;0.4849;0.00222;0.1121;0.0016;0.0113;0.0086;9.00E-04;0.0153;0.4665;0.0404;0.027;0.03305217;344;Deciduous Broadleaf Forests;-0.02469213;-0.01548341;1.5947475;7.4959758;5.3029127;7.7256413;1.8034623;0.58455791;0.98190541;0.57683852;0.52345311;0.48573481;0.38091429;3.4899153;0.028253248;0.0095;0.0129;-0.25
SP01;T-SP1-d;4-SP01-D;1312.6171;12.1382;1.25;16.1;0.991;28.22;0.0673;4.53;0.0247;0.0247;0.0022;11.0807;5.46;6.61;31.09;0.4695;0.373;0.1575;956.15;0.0147;0.4877;0.00175;0.144925;0;0.0015;8.00E-04;0;0.0034;0.0799;0.0117;0;0.02342833;344;Deciduous Broadleaf Forests;-0.02469213;-0.01548341;1.5947475;7.4959758;5.3029127;7.7256413;1.8034623;0.58455791;0.98190541;0.57683852;0.52345311;0.48573481;0.38091429;3.4899153;0.03014148;8.00E-04;0.0015;-0.25
SP01;T-SP1-e;5-SP01-E;1312.6171;12.1382;1.25;16.1;0.991;31.56;0.0919;4.21;0.0381;0.0381;0.0031;12.2444;6.19;12.93;51.44;0.4695;0.373;0.1575;567.93;0.0126;0.4501;0.00293;0.0856;9.00E-04;0.0056;0.0028;0;0.013;0.1234;0.0354;0.674;0.02810381;344;Deciduous Broadleaf Forests;-0.020433546;-0.014048353;1.45451543;6.06871809;4.65148636;7.63015227;1.80242433;0.552247932;1.01215662;0.563450227;0.529328598;0.507771298;0.375133677;3.92232253;0.027993779;0.0028;0.0065;-0.25
SP02;T-SP2-a;26-SP02-A;1253.26;10.9707;1.09;13.875;0.994;10.43;0.0794;4.16;0.0273;0.0273;0.0025;10.9759;66.84;84.42;26.84;0.617;0.323;0.06;402.92;0.0103;0.4816;0.00545;0.3111;0.0028;0.027;0.01;0.002;0.0075;0.0317;0.0112;0.0664;0.02286121;664.5;Deciduous Broadleaf Forests;-0.017057869;-0.022496379;0.758249546;7.01137676;7.64018877;-162.467638;1.64025856;0.549776697;2.28335292;1.35373946;1.23009832;0.525313485;0.210222862;10.9056672;0.021387043;0.012;0.0298;-0.09
SP02;T-SP2-b;27-SP02-B;1253.26;10.9707;1.09;13.625;0.991;16.03;0.0811;4.54;0.0403;0.0403;0.0035;11.5114;7.07;158.78;21.65;0.617;0.323;0.06;631.22;0.0118;0.4741;0.00512;0.4517;0.0034;0.0206;0.0063;4.00E-04;0.0052;0.0272;0.0169;0.6491;0.02474401;664.5;Deciduous Broadleaf Forests;-0.015930577;-0.014305608;1.1135896;4.9491639;4.3597031;7.2488459;1.5052504;0.52956609;0.66880973;0.37558892;0.3401363;0.46244608;0.29393417;3.4092089;0.024889264;0.0067;0.024;-0.09
SP02;T-SP2-c;28-SP02-C;1253.26;10.9707;1.09;13.525;0.991;14.72;0.0782;4.45;0.0325;0.0325;0.0027;12.2792;9.2;112.02;23.37;0.617;0.323;0.06;696.82;0.0111;0.5129;0.00346;0.6522;0.0026;0.018;0.0027;2.00E-04;0.0025;0.0156;0.0118;1.7281;0.03471148;664.5;Deciduous Broadleaf Forests;-0.017062693;-0.01671638;1.02071698;5.21321026;4.91211196;10.1940464;1.58749074;0.487963319;1.46056648;0.8104077;0.710843657;0.447675526;0.299688137;6.40436813;0.021641646;0.0029;0.0206;-0.09
SP02;T-SP2-d;29-SP02-D;1253.26;10.9707;1.09;13.7;0.99;20.13;0.1009;5.06;0.0521;0.0521;0.0036;14.4211;79.37;143.31;22.44;0.617;0.323;0.06;250.35;0.0105;0.4735;0.0061;1.0405;0.0106;0.066;0.0087;0.0016;0.0062;0.0196;0.0218;2.1063;0.03474105;664.5;Deciduous Broadleaf Forests;-0.014638997;-0.01939337;0.754845443;5.40481753;5.83469845;27.6675231;1.54376035;0.424775634;2.92606977;1.73764238;1.56058848;0.535039126;0.28532896;12.403163;0.02217529;0.0103;0.0766;-0.09
SP02;T-SP2-e;30-SP02-E;1253.26;10.9707;1.09;13.7;0.989;9.03;0.0611;4.05;0.0274;0.0274;0.0023;11.7682;7.33;101.21;21.59;0.617;0.323;0.06;194.7;0.0089;0.4885;0.00296;0.4734;0.0017;0.0105;0.0034;0;0.0037;0.0316;0.0062;1.6586;0.029264438;664.5;Deciduous Broadleaf Forests;-0.015786834;-0.022309311;0.707634291;6.47921038;7.39648154;-11.6785742;1.55938508;0.471284447;1.92124548;1.21705313;1.09852813;0.410306846;0.187199852;10.9008693;0.018219038;0.0034;0.0122;-0.09
