Gradient,Site,Name,Number_name,MAP,MAT,AI,Soil_Temp,Water_activity,Water_content,SOM_perc,SOM,pH,TOC_perc,TC_perc,TN_perc,TOC,TC,TN,C_N,NH4,PO43,SO42,Sand_perc,Silt_perc,Clay_perc,Sand,Silt,Clay,Litter,L_TC_perc,L_TN_perc,L_TC,L_TN,CO2_dark,CO2_light,CH4_ave,N2O,BB_2,BB,FB,chla,chlb,carotene,EPS,alpha,beta,xyl,cbh,gla,fos,leu,phe,16S,ITS2,mcrA,pmoA,nifH,AOA,AOB,qnorB,nosZ,phoD,Respiration,BB_BF,16S_ITS2,BB_16S,FB_ITS2,chla_chlb,carotene_chla,EPS_chla,EPS_BB,EPS_16S,ShannonEEA,TOC_TN,altitude,landcover_n,landcover
SP,SP01,T-SP1-a,1-SP01-A,1312.6171,12.1382,1.2484,16.4000,0.990,32.61,10.61,0.1061,4.3600,3.7610,3.7610,0.2770,0.0376,0.0376,0.0028,13.5776,10.79,11.35,45.62,46.95,37.3,15.75,0.4695,0.373,0.1575,852.82,1.36,49.06,0.0136,0.4906,108.9667,102.72,-16.7400,-2.3000,1.20E+08,2.64E-03,0.3121,0.3304,0.2465,0.1383,201.0945,0.0020,0.0157,0.0048,0.0000,0.0246,0.5937,0.0319,0.0000,3.86E+10,6.46E+08,2.18E+06,2.14E+09,6.86E+07,2.14E+08,4.16E+07,9.43E+08,1.02E+08,1.81E+09,0.02971528,0.0085,5.98E+01,6.83E-14,4.83E-10,1.3401,0.4186,608.7142,76.2288,5.21E-09,0.74456,13.57761733,344,4,Deciduous Broadleaf Forests
SP,SP01,T-SP1-b,2-SP01-B,1312.6171,12.1382,1.2484,13.2500,0.990,31.65,9.79,0.0979,4.1400,3.4810,3.4810,0.2740,0.0348,0.0348,0.0027,12.7044,31.01,17.47,47.18,46.95,37.3,15.75,0.4695,0.373,0.1575,323.2,1.19,48.85,0.0119,0.4885,237.9589,183.77,-60.7200,2.7600,1.24E+08,2.72E-03,0.0699,0.3164,0.1742,0.0965,185.5840,0.0013,0.0110,0.0082,0.0000,0.0117,0.1078,0.0252,0.3846,3.87E+10,5.58E+08,3.36E+06,1.71E+09,6.72E+07,2.71E+08,1.07E+07,1.04E+09,9.96E+07,1.53E+09,0.02621946,0.0389,6.94E+01,7.02E-14,1.25E-10,1.8169,0.3048,586.5113,68.2992,4.80E-09,1.36781,12.70437956,344,4,Deciduous Broadleaf Forests
SP,SP01,T-SP1-c,3-SP01-C,1312.6171,12.1382,1.2484,16.3000,0.990,32.13,11.49,0.1149,4.3400,4.7230,4.7230,0.3530,0.0472,0.0472,0.0035,13.3796,6.59,16.14,38.72,46.95,37.3,15.75,0.4695,0.373,0.1575,576.95,1.37,48.49,0.0137,0.4849,177.5767,157.86,-45.8400,-8.8900,1.01E+08,2.22E-03,0.1121,0.2268,0.1344,0.0844,245.7980,0.0016,0.0113,0.0086,0.0009,0.0153,0.4665,0.0404,0.0270,5.32E+10,4.71E+08,2.24E+06,2.36E+09,9.20E+07,2.35E+08,8.76E+06,1.48E+09,1.31E+08,2.62E+09,0.03305217,0.0198,1.13E+02,4.18E-14,2.38E-10,1.6883,0.3719,1083.5375,110.5120,4.62E-09,1.09790,13.3796034,344,4,Deciduous Broadleaf Forests
SP,SP01,T-SP1-d,4-SP01-D,1312.6171,12.1382,1.2484,16.1000,0.991,28.22,6.73,0.0673,4.5300,2.4710,2.4710,0.2230,0.0247,0.0247,0.0022,11.0807,5.46,6.61,31.09,46.95,37.3,15.75,0.4695,0.373,0.1575,956.15,1.47,48.77,0.0147,0.4877,156.9842,133.14,-53.0400,2.2600,7.97E+07,1.75E-03,,0.1129,0.0612,0.0364,164.1686,0.0000,0.0015,0.0008,0.0000,0.0034,0.0799,0.0117,0.0000,2.82E+10,2.57E+08,2.13E+06,6.20E+08,7.38E+07,2.13E+08,2.82E+06,9.08E+08,9.78E+07,1.22E+09,0.02342833,,1.10E+02,6.22E-14,,1.8441,0.3221,1453.4767,93.6482,5.82E-09,0.92578,11.08071749,344,4,Deciduous Broadleaf Forests
SP,SP01,T-SP1-e,5-SP01-E,1312.6171,12.1382,1.2484,16.1000,0.991,31.56,9.19,0.0919,4.2100,3.8080,3.8080,0.3110,0.0381,0.0381,0.0031,12.2444,6.19,12.93,51.44,46.95,37.3,15.75,0.4695,0.373,0.1575,567.93,1.26,45.01,0.0126,0.4501,75.4467,107.09,-29.5560,1.1600,1.33E+08,2.93E-03,0.0856,0.1977,0.1096,0.0657,249.0697,0.0009,0.0056,0.0028,0.0000,0.0130,0.1234,0.0354,0.6740,4.15E+10,4.55E+08,3.34E+06,7.87E+08,8.70E+07,2.36E+08,3.86E+06,1.37E+09,1.49E+08,2.54E+09,,0.0342,9.12E+01,7.06E-14,1.88E-10,1.8042,0.3322,1259.5976,85.0441,6.00E-09,1.04033,12.24437299,344,4,Deciduous Broadleaf Forests
SP,SP02,T-SP2-a,26-SP02-A,1253.2600,10.9707,1.0879,13.8750,0.994,10.43,7.94,0.0794,4.1600,2.7330,2.7330,0.2490,0.0273,0.0273,0.0025,10.9759,66.84,84.42,26.84,61.7,32.3,6,0.617,0.323,0.06,402.92,1.03,48.16,0.0103,0.4816,164.9680,175.89,-103.5600,-15.6100,2.48E+08,5.45E-03,0.3111,0.3970,0.1854,0.1090,197.8719,0.0028,0.0270,0.0100,0.0020,0.0075,0.0317,0.0112,0.0664,1.41E+10,5.73E+08,7.55E+05,5.78E+08,2.52E+07,2.27E+08,8.70E+06,4.90E+08,3.26E+07,3.31E+08,0.02286121,0.0175,2.46E+01,3.86E-13,5.43E-10,2.1417,0.2747,498.3983,36.3214,1.40E-08,2.29965,10.97590361,664.5,4,Deciduous Broadleaf Forests
SP,SP02,T-SP2-b,27-SP02-B,1253.2600,10.9707,1.0879,13.6250,0.991,16.03,8.11,0.0811,4.5400,4.0290,4.0290,0.3500,0.0403,0.0403,0.0035,11.5114,7.07,158.78,21.65,61.7,32.3,6,0.617,0.323,0.06,631.22,1.18,47.41,0.0118,0.4741,268.6905,248.68,-111.9600,5.7400,2.33E+08,5.12E-03,0.4517,0.5442,0.2785,0.1554,219.5214,0.0034,0.0206,0.0063,0.0004,0.0052,0.0272,0.0169,0.6491,2.38E+10,7.54E+08,1.21E+06,1.54E+09,5.01E+07,3.32E+08,3.65E+07,9.38E+08,6.32E+07,7.78E+08,0.02474401,0.0113,3.16E+01,2.15E-13,5.99E-10,1.9540,0.2856,403.3901,42.8464,9.22E-09,0.73935,11.51142857,664.5,4,Deciduous Broadleaf Forests
SP,SP02,T-SP2-c,28-SP02-C,1253.2600,10.9707,1.0879,13.5250,0.991,14.72,7.82,0.0782,4.4500,3.2540,3.2540,0.2650,0.0325,0.0325,0.0027,12.2792,9.20,112.02,23.37,61.7,32.3,6,0.617,0.323,0.06,696.82,1.11,51.29,0.0111,0.5129,131.5990,145.58,-99.9600,-0.5700,1.57E+08,3.46E-03,0.6522,0.6091,0.2997,0.1663,89.8003,0.0026,0.0180,0.0027,0.0002,0.0025,0.0156,0.0118,1.7281,2.30E+10,1.09E+09,1.34E+06,1.06E+09,5.12E+07,2.54E+08,5.72E+06,9.81E+08,5.13E+07,8.22E+08,0.03471148,0.0053,2.11E+01,1.50E-13,5.98E-10,2.0322,0.2731,147.4261,25.9500,3.90E-09,0.25828,12.27924528,664.5,4,Deciduous Broadleaf Forests
SP,SP02,T-SP2-d,29-SP02-D,1253.2600,10.9707,1.0879,13.7000,0.990,20.13,10.09,0.1009,5.0600,5.2060,5.2060,0.3610,0.0521,0.0521,0.0036,14.4211,79.37,143.31,22.44,61.7,32.3,6,0.617,0.323,0.06,250.35,1.05,47.35,0.0105,0.4735,176.8638,158.88,-102.1200,5.2900,2.77E+08,6.10E-03,1.0405,0.6008,0.2760,0.1710,101.5262,0.0106,0.0660,0.0087,0.0016,0.0062,0.0196,0.0218,2.1063,3.05E+10,1.12E+09,1.26E+06,1.63E+09,5.33E+07,1.66E+08,2.94E+07,9.93E+08,5.49E+07,1.05E+09,0.03474105,0.0059,2.72E+01,2.00E-13,9.29E-10,2.1769,0.2847,168.9816,16.6479,3.33E-09,0.45546,14.42105263,664.5,4,Deciduous Broadleaf Forests
SP,SP02,T-SP2-e,30-SP02-E,1253.2600,10.9707,1.0879,13.7000,0.989,9.03,6.11,0.0611,4.0500,2.7420,2.7420,0.2330,0.0274,0.0274,0.0023,11.7682,7.33,101.21,21.59,61.7,32.3,6,0.617,0.323,0.06,194.7,0.89,48.85,0.0089,0.4885,196.9202,154.03,-104.0400,-4.0900,1.34E+08,2.96E-03,0.4734,0.5180,0.2382,0.1469,151.1311,0.0017,0.0105,0.0034,0.0000,0.0037,0.0316,0.0062,1.6586,1.96E+10,1.06E+09,5.40E+06,9.21E+08,3.36E+07,1.46E+07,2.29E+06,4.56E+08,4.77E+07,6.80E+08,,0.0062,1.85E+01,1.51E-13,4.47E-10,2.1746,0.2836,291.7514,51.1049,7.71E-09,0.27302,11.76824034,664.5,4,Deciduous Broadleaf Forests
