Abbreviation	Variable	Units
MAP	Mean annual precipitation	mm
MAT	Mean annual temperature	ºC
AI	Aridity Index	
Soil_Temp	Soil Temperature	ºC
Water_activity	Water activity	
Water_content	Water content	%
SOM	Soil organic matter	%
pH	pH	
TOC	Total organic carbon	%
TC	Total carbon	%
TN	Total nitrogen	%
C_N	C/N mass-based ratio	
NH4	Ammonium content	mg/kg of dry soil
PO43	Phosphate content	mg/kg of dry soil
SO42	Sulfate content	mg/kg of dry soil
Sand	Sand content	%
Silt	Silt content	%
Clay	Clay content	%
Litter	Litter	dry g/m2
L_TC	Total carbon in litter	%
L_TN	Total nitrogen in litter	%
BB	Prokaryotic biomass	mg prokaryotic C * g dry weight-1
FB	Fungi biomass	mg fungal C * g dry weight-1
alpha	?-glucosidase	?mol MUF * g dry weight-1 * hour-1
beta	?-glucosidase	?mol MUF * g dry weight-1 * hour-1
xyl	?-xylosidase	?mol MUF * g dry weight-1 * hour-1
cbh	cellobiohydrolase	?mol MUF * g dry weight-1 * hour-1
gla	N-acetyl-?-glucosaminidase	?mol MUF * g dry weight-1 * hour-1
fos	phosphatase	?mol MUF * g dry weight-1 * hour-1
leu	leucine-aminopeptidase	?mol AMC * g dry weight-1 * hour-1
phe	phenol oxidase	?mol DIQC * g dry weight-1 * hour-1
Respiration	Microbial aerobic respiration	nmol RAZ * g dry weight-1 * hour-1
altitude	Altitude of the sampling site	m.a.s.l.
landcover	Land cover type	
s275.295	Absorbant slope at 275-295 wavelenght interval	
s350.400	Absorbant slope at 350-400 wavelenght interval	
SR	Slope ratio	
E2.E3	Ratio of absorbances 250/365	
E3.E4	Ratio of absorbances 300/400	
E4.E6	Ratio of absorbances 465/665	
FI	Flourescence Index	
BIX	Biological Index	
Peak_A	Peak of dissolved organic matter characterization	
Peak_C	Peak of dissolved organic matter characterization	
Peak_M	Peak of dissolved organic matter characterization	
Peak_T	Peak of dissolved organic matter characterization	
Peak_B	Peak of dissolved organic matter characterization	
HIX	Humification index	
LTC_LTN	Total carbon in litter / total nitrogen in litter ratio	
xylcbh	Activity of ?-xylosidase and cellobiohydrolase altogether	?mol MUF * g dry weight-1 * hour-1
alphabeta	Activity of ?-glucosidase ?-glucosidase altogether	?mol MUF * g dry weight-1 * hour-1
Aridity	aridity (1-AI)	
